Time, Acceleration, Velocity, Position
139, 0.011887, 0.085709, 0.412431
140, 0.011970, 0.086902, 0.421061
141, 0.012052, 0.088103, 0.429812
142, 0.012135, 0.089313, 0.438682
143, 0.012217, 0.090530, 0.447675
144, 0.012300, 0.091756, 0.456789
145, 0.012382, 0.092990, 0.466026
146, 0.012465, 0.094233, 0.475387
147, 0.012547, 0.095483, 0.484873
148, 0.012630, 0.096742, 0.494484
149, 0.012712, 0.098009, 0.504222
150, 0.012794, 0.099284, 0.514086
151, 0.012877, 0.100568, 0.524079
152, 0.012959, 0.101860, 0.534200
153, 0.013042, 0.103160, 0.544451
154, 0.013124, 0.104468, 0.554832
155, 0.013207, 0.105785, 0.565345
156, 0.013289, 0.107110, 0.575989
157, 0.013372, 0.108443, 0.586767
158, 0.013454, 0.109784, 0.597678
159, 0.013537, 0.111133, 0.608724
160, 0.013619, 0.112491, 0.619905
161, 0.013701, 0.113857, 0.631223
162, 0.013784, 0.115231, 0.642677
163, 0.013866, 0.116614, 0.654269
164, 0.013949, 0.118005, 0.666000
165, 0.014031, 0.119404, 0.677870
166, 0.014114, 0.120811, 0.689881
167, 0.014196, 0.122226, 0.702033
168, 0.014279, 0.123650, 0.714327
169, 0.014361, 0.125082, 0.726763
170, 0.014443, 0.126522, 0.739343
171, 0.014526, 0.127971, 0.752068
172, 0.014608, 0.129428, 0.764938
173, 0.014691, 0.130893, 0.777954
174, 0.014773, 0.132366, 0.791116
175, 0.014856, 0.133847, 0.804427
176, 0.014938, 0.135337, 0.817886
177, 0.015020, 0.136835, 0.831495
178, 0.015103, 0.138341, 0.845253
179, 0.015185, 0.139855, 0.859163
180, 0.015268, 0.141378, 0.873225
181, 0.015350, 0.142909, 0.887439
182, 0.015432, 0.144448, 0.901807
183, 0.015515, 0.145995, 0.916329
184, 0.015597, 0.147551, 0.931006
185, 0.015680, 0.149115, 0.945839
186, 0.015762, 0.150687, 0.960829
187, 0.015844, 0.152267, 0.975977
188, 0.015927, 0.153856, 0.991283
189, 0.016009, 0.155453, 1.006748
190, 0.016092, 0.157058, 1.022374
191, 0.016174, 0.158671, 1.038160
192, 0.016256, 0.160292, 1.054108
193, 0.016339, 0.161922, 1.070219
194, 0.016421, 0.163560, 1.086493
195, 0.016504, 0.165206, 1.102931
196, 0.016586, 0.166861, 1.119534
197, 0.016668, 0.168524, 1.136304
198, 0.016751, 0.170195, 1.153239
199, 0.016833, 0.171874, 1.170343
200, 0.016916, 0.173561, 1.187615
201, 0.016998, 0.175257, 1.205055
202, 0.017080, 0.176961, 1.222666
203, 0.017163, 0.178673, 1.240448
204, 0.017245, 0.180393, 1.258401
205, 0.017327, 0.182122, 1.276527
206, 0.017410, 0.183859, 1.294826
207, 0.017492, 0.185604, 1.313299
208, 0.017574, 0.187357, 1.331947
209, 0.017657, 0.189119, 1.350770
210, 0.017739, 0.190889, 1.369771
211, 0.017821, 0.192667, 1.388948
212, 0.017904, 0.194453, 1.408304
213, 0.017986, 0.196247, 1.427839
214, 0.018069, 0.198050, 1.447554
215, 0.018151, 0.199861, 1.467449
216, 0.018233, 0.201680, 1.487526
217, 0.018316, 0.203508, 1.507786
218, 0.018398, 0.205343, 1.528228
219, 0.018480, 0.207187, 1.548854
220, 0.018563, 0.209039, 1.569666
221, 0.018645, 0.210900, 1.590663
222, 0.018727, 0.212768, 1.611846
223, 0.018810, 0.214645, 1.633217
224, 0.018892, 0.216530, 1.654775
225, 0.018974, 0.218424, 1.676523
226, 0.019056, 0.220325, 1.698460
227, 0.019139, 0.222235, 1.720588
228, 0.019221, 0.224153, 1.742908
229, 0.019303, 0.226079, 1.765419
230, 0.019386, 0.228014, 1.788124
231, 0.019468, 0.229956, 1.811022
232, 0.019550, 0.231907, 1.834116
233, 0.019633, 0.233866, 1.857404
234, 0.019715, 0.235834, 1.880889
235, 0.019797, 0.237809, 1.904571
236, 0.019880, 0.239793, 1.928451
237, 0.019962, 0.241785, 1.952530
238, 0.020044, 0.243786, 1.976809
239, 0.020126, 0.245794, 2.001287
240, 0.020209, 0.247811, 2.025967
241, 0.020291, 0.249836, 2.050850
242, 0.020373, 0.251869, 2.075935
243, 0.020456, 0.253910, 2.101224
244, 0.020538, 0.255960, 2.126717
245, 0.020620, 0.258018, 2.152416
246, 0.020702, 0.260084, 2.178321
247, 0.020785, 0.262158, 2.204433
248, 0.020867, 0.264241, 2.230753
249, 0.020949, 0.266332, 2.257281
250, 0.021031, 0.268431, 2.284019
251, 0.021114, 0.270538, 2.310968
252, 0.021196, 0.272654, 2.338128
253, 0.021278, 0.274777, 2.365499
254, 0.021360, 0.276909, 2.393083
255, 0.021443, 0.279049, 2.420881
256, 0.021525, 0.281198, 2.448894
257, 0.021607, 0.283354, 2.477121
258, 0.021689, 0.285519, 2.505565
259, 0.021772, 0.287692, 2.534225
260, 0.021854, 0.289874, 2.563103
261, 0.021936, 0.292063, 2.592200
262, 0.022018, 0.294261, 2.621516
263, 0.022101, 0.296467, 2.651052
264, 0.022183, 0.298681, 2.680809
265, 0.022265, 0.300903, 2.710789
266, 0.022347, 0.303134, 2.740991
267, 0.022429, 0.305373, 2.771416
268, 0.022512, 0.307620, 2.802065
269, 0.022594, 0.309875, 2.832940
270, 0.022676, 0.312138, 2.864040
271, 0.022758, 0.314410, 2.895368
272, 0.022840, 0.316690, 2.926923
273, 0.022923, 0.318978, 2.958706
274, 0.023005, 0.321275, 2.990719
275, 0.023087, 0.323579, 3.022962
276, 0.023169, 0.325892, 3.055435
277, 0.023251, 0.328213, 3.088140
278, 0.023334, 0.330542, 3.121078
279, 0.023416, 0.332880, 3.154249
280, 0.023498, 0.335226, 3.187654
281, 0.023580, 0.337579, 3.221294
282, 0.023662, 0.339942, 3.255170
283, 0.023744, 0.342312, 3.289283
284, 0.023827, 0.344690, 3.323633
285, 0.023909, 0.347077, 3.358222
286, 0.023991, 0.349472, 3.393049
287, 0.024073, 0.351875, 3.428116
288, 0.024155, 0.354287, 3.463425
289, 0.024237, 0.356706, 3.498973
290, 0.024320, 0.359134, 3.534766
291, 0.024402, 0.361570, 3.570801
292, 0.024484, 0.364015, 3.607080
293, 0.024566, 0.366467, 3.643604
294, 0.024648, 0.368928, 3.680373
295, 0.024730, 0.371397, 3.717390
296, 0.024812, 0.373874, 3.754653
297, 0.024895, 0.376359, 3.792165
298, 0.024977, 0.378853, 3.829926
299, 0.025059, 0.381355, 3.867935
300, 0.025141, 0.383865, 3.906197
301, 0.025223, 0.386383, 3.944709
