Time, Acceleration, Velocity, Position
0, 0.00000000000000, 0.00000000000000, 0.00000000000000
1, 0.00032969313931, 0.00003296931393, 0.00000329693139
2, 0.00065938627861, 0.00009890794179, 0.00001318772557
3, 0.00098907941792, 0.00019781588358, 0.00003296931393
4, 0.00131877255722, 0.00032969313931, 0.00006593862786
5, 0.00164846569653, 0.00049453970896, 0.00011539259876
6, 0.00197815883583, 0.00069235559254, 0.00018462815801
7, 0.00230785197514, 0.00092314079005, 0.00027694223702
8, 0.00263754511444, 0.00118689530150, 0.00039563176717
9, 0.00296723825374, 0.00148361912687, 0.00054399367985
10, 0.00329693139305, 0.00181331226618, 0.00072532490647
11, 0.00362660848462, 0.00217597311464, 0.00094292221793
12, 0.00395628557619, 0.00257160167226, 0.00120008238516
13, 0.00428596266776, 0.00300019793903, 0.00150010217906
14, 0.00461563975933, 0.00346176191497, 0.00184627837056
15, 0.00494531685090, 0.00395629360006, 0.00224190773057
16, 0.00527499394247, 0.00448379299430, 0.00269028703000
17, 0.00560467103404, 0.00504426009771, 0.00319471303977
18, 0.00593434812561, 0.00563769491027, 0.00375848253080
19, 0.00626402521718, 0.00626409743199, 0.00438489227399
20, 0.00659370230875, 0.00692346766286, 0.00507723904028
21, 0.00692334730563, 0.00761580239343, 0.00583881927962
22, 0.00725299230251, 0.00834110162368, 0.00667292944199
23, 0.00758263729939, 0.00909936535362, 0.00758286597735
24, 0.00791228229627, 0.00989059358324, 0.00857192533568
25, 0.00824192729315, 0.01071478631256, 0.00964340396693
26, 0.00857157229004, 0.01157194354156, 0.01080059832109
27, 0.00890121728692, 0.01246206527025, 0.01204680484811
28, 0.00923086228380, 0.01338515149863, 0.01338531999798
29, 0.00956050728068, 0.01434120222670, 0.01481944022065
30, 0.00989015227756, 0.01533021745446, 0.01635246196609
31, 0.01021974913436, 0.01635219236789, 0.01798768120288
32, 0.01054934599116, 0.01740712696701, 0.01972839389958
33, 0.01087894284796, 0.01849502125181, 0.02157789602476
34, 0.01120853970476, 0.01961587522228, 0.02353948354699
35, 0.01153813656156, 0.02076968887844, 0.02561645243484
36, 0.01186773341836, 0.02195646222027, 0.02781209865686
37, 0.01219733027516, 0.02317619524779, 0.03012971818164
38, 0.01252692713196, 0.02442888796099, 0.03257260697774
39, 0.01285652398876, 0.02571454035986, 0.03514406101373
40, 0.01318612084556, 0.02703315244442, 0.03784737625817
41, 0.01351565351923, 0.02838471779634, 0.04068584803780
42, 0.01384518619290, 0.02976923641563, 0.04366277167937
43, 0.01417471886657, 0.03118670830229, 0.04678144250960
44, 0.01450425154024, 0.03263713345631, 0.05004515585523
45, 0.01483378421391, 0.03412051187770, 0.05345720704300
46, 0.01516331688758, 0.03563684356646, 0.05702089139964
47, 0.01549284956125, 0.03718612852259, 0.06073950425190
48, 0.01582238223492, 0.03876836674608, 0.06461634092651
49, 0.01615191490859, 0.04038355823694, 0.06865469675020
50, 0.01648144758226, 0.04203170299516, 0.07285786704972
51, 0.01681090003288, 0.04371279299845, 0.07722914634956
52, 0.01714035248349, 0.04542682824680, 0.08177182917424
53, 0.01746980493411, 0.04717380874021, 0.08648921004827
54, 0.01779925738473, 0.04895373447868, 0.09138458349613
55, 0.01812870983535, 0.05076660546222, 0.09646124404236
56, 0.01845816228596, 0.05261242169081, 0.10172248621144
57, 0.01878761473658, 0.05449118316447, 0.10717160452788
58, 0.01911706718720, 0.05640288988319, 0.11281189351620
59, 0.01944651963781, 0.05834754184697, 0.11864664770090
60, 0.01977597208843, 0.06032513905582, 0.12467916160648
61, 0.02010532827997, 0.06233567188381, 0.13091272879486
62, 0.02043468447152, 0.06437914033097, 0.13735064282796
63, 0.02076404066306, 0.06645554439727, 0.14399619726769
64, 0.02109339685460, 0.06856488408273, 0.15085268567596
65, 0.02142275304615, 0.07070715938735, 0.15792340161470
66, 0.02175210923769, 0.07288237031111, 0.16521163864581
67, 0.02208146542923, 0.07509051685404, 0.17272069033121
68, 0.02241082162077, 0.07733159901612, 0.18045385023282
69, 0.02274017781232, 0.07960561679735, 0.18841441191256
70, 0.02306953400386, 0.08191257019773, 0.19660566893233
71, 0.02339877790500, 0.08425244798823, 0.20503091373115
72, 0.02372802180613, 0.08662525016885, 0.21369343874804
73, 0.02405726570727, 0.08903097673957, 0.22259653642200
74, 0.02438650960840, 0.09146962770041, 0.23174349919204
75, 0.02471575350954, 0.09394120305137, 0.24113761949717
76, 0.02504499741068, 0.09644570279243, 0.25078218977642
77, 0.02537424131181, 0.09898312692362, 0.26068050246878
78, 0.02570348521295, 0.10155347544491, 0.27083585001327
79, 0.02603272911408, 0.10415674835632, 0.28125152484890
80, 0.02636197301522, 0.10679294565784, 0.29193081941469
81, 0.02669108860008, 0.10946205451785, 0.30287702486647
82, 0.02702020418494, 0.11216407493634, 0.31409343236010
83, 0.02734931976980, 0.11489900691332, 0.32558333305144
84, 0.02767843535466, 0.11766685044879, 0.33735001809632
85, 0.02800755093951, 0.12046760554274, 0.34939677865059
86, 0.02833666652437, 0.12330127219518, 0.36172690587011
87, 0.02866578210923, 0.12616785040610, 0.37434369091072
88, 0.02899489769409, 0.12906734017551, 0.38725042492827
89, 0.02932401327895, 0.13199974150340, 0.40045039907861
90, 0.02965312886381, 0.13496505438979, 0.41394690451759
91, 0.02998210011277, 0.13796326440106, 0.42774323095769
92, 0.03031107136173, 0.14099437153724, 0.44184266811142
93, 0.03064004261069, 0.14405837579830, 0.45624850569125
94, 0.03096901385965, 0.14715527718427, 0.47096403340967
